#States ranked by median household income
#Median Household Income by State (Note that table does not reflect the margin of error in the values).
#http://factfinder.census.gov/bkmk/table/1.0/en/ACS/11_1YR/R1901.US01PRF
# All in $US dollars
#Rank, 	State, 	2015, 	2014, 	2013, 	2012, 	2011
 1, 	Maryland 	,75847 	,73971 	,72483 	,71122 	,70004
 2, 	Hawaii 	        ,73486 	,69592 	,68020 	,66259 	,61821
 3, 	Alaska 	        ,73355 	,71583 	,72237 	,67712 	,67825
 4, 	New Jersey 	,72222 	,71919 	,70165 	,69667 	,67458
 5, 	Connecticut 	,71346 	,70048 	,67098 	,67276 	,65753
 6, 	Massachusetts 	,70628 	,69160 	,66768 	,65339 	,62859
 7, 	New Hampshire 	,70303 	,66532 	,64230 	,63280 	,62647
 8, 	Virginia 	,66262 	,64902 	,62666 	,61741 	,61882
 9, 	California 	,64500 	,61933 	,60190 	,58328 	,57287
10, 	Washington 	,64129 	,61366 	,58405 	,57573 	,56835
11, 	Colorado 	,63909 	,61303 	,58823 	,56765 	,55387
12, 	Minnesota 	,63488 	,61481 	,60702 	,58906 	,56954
13, 	Utah 	        ,62912 	,60922 	,59770 	,57049 	,55869
14, 	Delaware 	,61255 	,59716 	,57846 	,58415 	,58814
15, 	New York 	,60850 	,58878 	,57369 	,56448 	,55246
16, 	North Dakota 	,60557 	,59029 	,55759 	,53585 	,51704
17, 	Wyoming 	,60214 	,57055 	,58752 	,54901 	,56322
18, 	Illinois 	,59588 	,57444 	,56210 	,55137 	,53234
19, 	Rhode Island 	,58073 	,54891 	,55902 	,54554 	,53636
20, 	Vermont 	,56990 	,54166 	,52578 	,52977 	,52776
21, 	Pennsylvania 	,55702 	,53234 	,52007 	,51230 	,50228
22, 	Texas 	        ,55653 	,53035 	,51704 	,50740 	,49392
23, 	Wisconsin 	,55638 	,52622 	,51467 	,51059 	,50395
24, 	Nebraska 	,54996 	,52686 	,51440 	,50723 	,50296
25, 	Iowa 	        ,54736 	,53712 	,52229 	,50957 	,49427
26, 	Oregon 	        ,54148 	,51075 	,50251 	,49161 	,46816
27, 	Kansas 	        ,53906 	,52504 	,50972 	,50241 	,48964
28, 	South Dakota 	,53017 	,50979 	,48947 	,48362 	,48321
29, 	Nevada 	        ,52431 	,51450 	,51230 	,49760 	,48927
30, 	Maine 	        ,51494 	,49462 	,46974 	,46709 	,46033
31, 	Arizona 	,51492 	,50068 	,48510 	,47826 	,46709
32, 	Georgia 	,51244 	,49321 	,47829 	,47209 	,46007
33, 	Michigan 	,51084 	,49847 	,48273 	,46859 	,45981
34, 	Ohio 	        ,51075 	,49308 	,48081 	,46829 	,45749
35, 	Indiana 	,50532 	,49446 	,47529 	,46974 	,46438
36, 	Missouri 	,50238 	,48363 	,46931 	,45321 	,45247
37, 	Montana 	,49509 	,46328 	,46972 	,45076 	,44222
38, 	Florida 	,49426 	,47463 	,46036 	,45040 	,44299
39, 	Oklahoma 	,48568 	,47529 	,45690 	,44312 	,43225
40, 	Idaho 	        ,48275 	,47861 	,46783 	,45489 	,43341
41, 	North Carolina 	,47830 	,46556 	,45906 	,45150 	,43916
42, 	Tennessee 	,47275 	,44361 	,44297 	,42764 	,41693
43, 	South Carolina 	,47238 	,45238 	,44163 	,43107 	,42367
44, 	Louisiana 	,45727 	,44555 	,44164 	,42944 	,41734
45, 	New Mexico 	,45382 	,44803 	,43872 	,42558 	,41963
46, 	Kentucky 	,45215 	,42958 	,43399 	,41724 	,41141
47, 	Alabama 	,44765 	,42830 	,42849 	,41574 	,41415
48, 	West Virginia 	,42019 	,41059 	,41253 	,40196 	,38482
49, 	Arkansas 	,41995 	,41262 	,40511 	,40112 	,38758
50, 	Mississippi 	,40593 	,39680 	,37963 	,37095 	,36919
#	Puerto Rico 	,18,626 	,18,928 	,19,183 	,19,429 	,18,660 
#	District of Columbia	75,628 	71,648 	67,572 	66,583 	63,124
#	United States 	55,775 	53,657 	52,250 	51,371 	50,502
